acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Label
0.01187985,0.64437151,0.682594836,-0.084875539,-0.030383503,-0.086402327,22:25.0,17889.1,1,-0.002575904,0.664037704,0.68356967,-0.067771316,-0.01190483,-0.04608522,22:25.5,0,38.6,5
-0.017031658,0.683703899,0.684544504,-0.050667092,0.006573844,-0.005768114,22:25.5,17889.7,2,-0.017772167,0.686131805,0.682960421,-0.046391033,0.004283099,-0.005004532,22:26.6,0.6,39.7,5
-0.018019002,0.685160637,0.68356967,-0.046696469,0.003214085,-0.005462681,22:26.1,17890.2,3,-0.01703166,0.684796482,0.684057087,-0.048529059,0.004435815,-0.004546383,22:27.7,1.1,40.7,5
-0.017525332,0.687102973,0.682351172,-0.046085596,0.005352113,-0.004546383,22:26.6,17890.8,4,-0.002602243,0.754842103,0.68564108,-0.05631759,-0.006865192,-0.016152823,22:28.8,1.7,41.9,1
-0.016784824,0.683703899,0.684544504,-0.047307327,0.004130383,-0.005462681,22:27.2,17891.3,5,-0.035834054,0.697057456,0.712813258,-0.029744945,0.012987929,0.00324215,22:29.9,2.2,43,1
-0.017278496,0.685889065,0.68356967,-0.04975079,0.004741248,-0.003630085,22:27.7,17891.8,6,2.17743E-05,0.70324868,0.663342804,-0.035853609,0.00962817,-0.002408355,22:31.0,2.7,44.1,1
-0.019993687,0.766010582,0.688199878,-0.055248573,-0.000451106,-0.005768114,22:28.3,17892.4,7,-0.01546184,0.728256315,0.576830417,-0.061204515,-0.192720942,-0.235911593,22:32.2,3.3,45.2,3
0.014789201,0.743673623,0.683082283,-0.057386607,-0.013279277,-0.026537532,22:28.8,17893,8,-0.062924191,0.66112417,0.620695859,-0.088082589,0.295054965,0.285461903,22:33.3,3.9,46.3,2
-0.10367097,0.724007428,0.625569761,-0.037533477,0.001076057,-0.018290849,22:29.4,17893.5,9,0.06267227,0.693658382,0.516149908,-0.120000288,-0.04748773,-0.037227675,22:34.4,4.4,47.4,5
0.032002863,0.670107484,0.800056756,-0.021956414,0.024899801,0.024775149,22:29.9,17894.1,10,-0.046614794,0.732262433,0.636292458,-0.114349782,0.177768828,0.239647005,22:35.5,5,48.5,5
0.052125871,0.646313787,0.66651088,-0.041809544,0.006879277,-0.005462681,22:30.5,17894.6,11,0.132820684,0.664280474,0.647989929,-0.087013572,-0.417366624,-0.431541175,22:36.6,5.5,49.6,5
-0.052082323,0.760183573,0.660174727,-0.029897675,0.012377064,0.000645972,22:31.0,17895.2,12,-0.102648173,0.588407815,0.633002579,-0.022872716,-0.057108849,-0.078308359,22:37.7,6.1,50.7,3
0.017456107,0.723764658,0.580973268,-0.054943144,-0.129343674,-0.128857464,22:31.6,17895.7,13,-0.134525431,0.620092243,0.869144827,0.007670544,0.629809111,0.597308606,22:38.8,6.6,51.8,2
-0.048379786,0.732747972,0.572687566,-0.067465886,-0.256098211,-0.342965722,22:32.2,17896.3,14,0.258447334,0.628225833,0.587065697,-0.010655411,-0.528849542,-0.57204017,22:39.9,7.2,52.9,5
-0.219190061,0.723036289,0.6801579,-0.035700887,0.388059199,0.378160715,22:32.7,17896.8,15,-0.10521261,0.747558355,0.842947394,-0.014626034,-0.110712275,-0.146419823,22:41.0,7.7,54,2
0.093341678,0.59921205,0.561233819,-0.140464291,0.202050731,0.19276309,22:33.3,17897.4,16,-0.052822828,0.647042215,0.664317578,-0.058761053,0.274132833,0.31600517,22:42.1,8.3,55.2,2
