acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Minutes,Label,
0.030305739,0.688802481,0.6979478,0.006640732,-0.000743824,-0.010475959,41:52.4,63,1,0.033942429,0.688681126,0.694292337,-0.01321239,0.004143098,-0.006505335,41:52.9,0,34.5,00:34.5,5,
0.037579119,0.688559771,0.690636873,-0.033065513,0.00903002,-0.002534711,41:52.9,63.5,2,0.029942071,0.684068084,0.694657862,-0.022047654,0.001397827,-0.00140116,41:54.0,0.5,35.6,00:35.6,5,
0.02545682,0.685646236,0.69112426,-0.024882391,0.003505347,-0.001849628,41:53.5,64,3,0.031517969,0.688195527,0.691977203,-0.023969509,-0.000820129,-0.001926694,41:55.1,1,36.6,00:36.6,1,
0.034427322,0.682489932,0.698191464,-0.019212916,-0.000709692,-0.000952692,41:54.0,64.6,4,0.026184158,0.732383788,0.663952053,-0.021774471,-0.005707464,-0.010691541,41:56.1,1.6,37.7,00:37.7,1,
0.026426604,0.685403407,0.69721669,-0.022991225,-0.001872094,-0.002717687,41:54.5,65.1,5,-0.030347966,0.671564251,0.75801906,-0.0061974,0.024988515,0.054212891,41:57.2,2.1,38.8,00:38.8,1,
0.036609333,0.690987647,0.686737716,-0.024947792,0.000231836,-0.001135701,41:55.1,65.6,6,-0.04134497,0.690866292,0.635683209,-0.01123704,0.012160343,-0.029628365,41:58.3,2.6,39.9,00:39.9,2,
0.037094224,0.690987647,0.669678926,-0.024828792,-0.000973258,-0.003819307,41:55.6,66.2,7,-0.261275537,0.706769198,0.69112426,-0.070643686,0.666549727,0.681571513,41:59.4,3.2,40.9,00:40.9,2,
0.015274093,0.773779929,0.658225179,-0.01872015,-0.010441669,-0.017563775,41:56.1,66.7,8,-0.063137598,0.535721824,0.685153663,0.049238618,0.532464802,0.551915362,42:00.5,3.7,42,00:42.0,5,
0.107645988,0.705069602,0.798107207,-0.005586535,0.049117692,0.078952931,41:56.7,67.3,9,-0.02431399,0.720851153,0.802981108,-0.00283765,0.121199787,0.104609277,42:01.6,4.3,43.1,00:43.1,5,
-0.16834192,0.638058901,0.717930913,-0.006808266,0.000859338,0.02947285,41:57.2,67.8,10,-0.126873523,0.526617095,0.559527978,0.037174024,0.110967796,0.062917719,42:02.6,4.8,44.2,00:44.2,5,
