acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Label
0.049701411,-0.066095896,0.964064717,0.001603633,0.003490733,-0.005113101,21:37.6,12.1,1,0.048246736,-0.070679188,0.962237,-0.001225468,0.003149924,-0.007097177,21:38.1,0,73.5,5
0.04679206,-0.075262479,0.960409284,-0.004054569,0.002809115,-0.009081254,21:38.1,12.6,2,0.048246738,-0.073694509,0.959921837,-0.002432317,0.004183584,-0.00801939,21:39.2,0.5,74.6,5
0.048731629,-0.071402863,0.959921837,-0.00307405,0.00094397,-0.011180961,21:38.7,13.2,3,0.041943142,-0.076106768,0.95882526,-0.006006386,0.003402207,-0.006662542,21:40.2,1.1,75.6,5
0.047761846,-0.075986154,0.959921837,-0.001790583,0.007423198,-0.004857819,21:39.2,13.7,4,0.045579832,-0.072850224,0.961262226,-0.004175643,0.000258626,-0.005532086,21:41.3,1.6,76.7,5
0.038064007,-0.073573895,0.958216012,-0.0038229,0.004823851,-0.007068015,21:39.7,14.2,5,0.046428394,-0.073091447,0.961749643,-0.003719311,0.00080009,-0.006806084,21:42.4,2.1,77.8,5
0.045822278,-0.078639641,0.959434509,-0.008189872,0.001980562,-0.006257068,21:40.2,14.7,6,0.046307171,-0.076347996,0.961993337,-0.003868626,0.002836574,-0.005811619,21:43.4,2.6,78.8,5
0.047276955,-0.073091447,0.961384058,-0.003793459,0.00101365,-0.00426186,21:40.8,15.3,7,0.045701057,-0.072247159,0.96223703,-0.003002321,0.001669739,-0.005252713,21:44.5,3.2,79.9,1
0.043882709,-0.072609,0.961140394,-0.004557826,-0.000496397,-0.006802312,21:41.3,15.8,8,0.050671196,-0.047400888,0.956022769,-0.000577245,-0.002341252,0.051276524,21:45.5,3.7,81,1
0.049458966,-0.072609,0.961871505,-0.003494922,0.00307327,-0.005399622,21:41.8,16.3,9,0.027517612,0.019699123,0.957241237,-0.021647684,0.007091573,0.492766768,21:46.6,4.2,82,1
0.043397821,-0.073573895,0.961627781,-0.0039437,-0.00147309,-0.008212546,21:42.4,16.9,10,-0.017648749,-0.096731585,0.872312903,-0.022258548,-0.016426739,0.084708789,21:47.6,4.8,83.1,1
0.046064727,-0.073332675,0.961627781,-0.003506906,0.003355563,-0.005897283,21:42.9,17.4,11,-0.060721569,-0.095525455,0.962115139,-0.006223336,-0.011997966,-0.011197052,21:48.7,5.3,84.1,5
0.046549615,-0.079363316,0.962358892,-0.004230347,0.002317585,-0.005725955,21:43.4,17.9,12,-0.071829176,-0.070196737,0.828813016,0.103579685,-0.064685091,0.059816033,21:49.8,5.8,85.2,5
0.046064727,-0.073332675,0.962115169,-0.002613083,0.002591108,-0.006420861,21:43.9,18.4,13,-0.090341847,-0.129297085,0.812607139,-0.058757745,-0.003904002,0.022553253,21:50.9,6.3,86.3,5
0.045337386,-0.071161643,0.962358892,-0.00339156,0.000748371,-0.004084565,21:44.5,19,14,-0.01266105,-0.143046953,0.913132101,0.000343464,0.011367628,0.094940782,21:51.9,6.9,87.3,4
0.041943144,-0.062477503,0.966501713,-0.002261534,0.000748662,0.001656324,21:45.0,19.5,15,-0.004603772,-0.200699948,0.951636195,-0.0094602,-0.004729743,0.002542858,21:53.0,7.4,88.4,4
0.059399247,-0.032324273,0.945543826,0.001107045,-0.005431165,0.100896724,21:45.5,20.1,16,-0.014439886,-0.003090503,0.966257989,0.035636343,-0.003430451,-0.014330617,21:54.0,8,89.4,5
0.05406544,-0.047521502,0.958216012,0.002023347,-0.010928953,0.391668558,21:46.1,20.6,17,0.040488468,-0.041370241,0.948224425,0.010282855,-0.045726451,0.021107262,21:55.1,8.5,90.5,1
0.000969784,0.086919747,0.956266463,-0.045318715,0.025112098,0.593864977,21:46.6,21.1,18,0.016865861,-0.030515076,0.940791667,0.082206249,0.00577981,0.045514379,21:56.2,9,91.6,1
-0.021227866,-0.068990611,0.945543826,0.002023347,-0.020397363,0.214517653,21:47.1,21.6,19,0.049639272,0.048679911,0.862199455,-0.159849107,-0.002314154,0.01848359,21:57.3,9.5,92.7,1
-0.014069632,-0.124472558,0.799081981,-0.046540443,-0.012456115,-0.045100074,21:47.6,22.2,20,0.025093152,-0.123748884,0.870850682,0.01791268,-0.013920593,-0.111019842,21:58.4,10.1,93.8,5
-0.109101355,-0.112170041,0.9491992,-0.00561247,-0.026811447,-0.011502485,21:48.2,22.7,21,-0.020651136,-0.092027679,0.936526984,-0.012019714,0.022273172,-0.073604348,21:59.4,10.6,94.8,5
-0.012341782,-0.078880869,0.975031078,-0.006834202,0.002815516,-0.01089162,21:48.7,23.2,22,-0.034186737,-0.082619872,0.932871521,0.029366404,0.001809187,0.301619634,22:00.5,11.1,95.9,5
-0.058746886,-0.098420165,0.837586105,0.106786728,-0.060103603,0.079211004,21:49.2,23.7,23,0.009149799,-0.075986156,0.897535503,-0.020266395,0.00577981,-0.018931899,22:01.5,11.6,96.9,5
-0.084911466,-0.041973308,0.820039928,0.100372642,-0.06926658,0.040421061,21:49.8,24.3,24,-0.021721537,-0.140634693,0.92056486,0.131686341,0.024411198,-0.177298717,22:02.6,12.2,98,5
-0.114284903,-0.149077609,0.779829919,-0.214222953,-0.012456115,0.064244807,21:50.3,24.8,25,-0.055044351,-0.000798834,1.050089717,-0.012537137,-0.019372221,-0.092326976,22:03.7,12.7,99.1,5
-0.066398792,-0.109516561,0.845384359,0.096707463,0.004648111,-0.019138301,21:50.9,25.4,26,-0.260041341,-0.056808698,0.990993232,0.037401099,-0.045486709,1.056099683,22:04.7,13.3,100.1,2
0.008000716,-0.047521502,0.896560729,0.088460773,-0.013372414,0.118306376,21:51.4,25.9,27,0.041949561,0.063975843,0.927510202,-0.003374156,0.030566012,-0.53734228,22:05.8,13.8,101.2,3
-0.033322815,-0.238572404,0.929703474,-0.087773845,0.036107671,0.071575187,21:51.9,26.4,28,0.248022176,0.024309848,0.948589981,-0.128601529,0.078824369,-1.091855228,22:06.8,14.3,102.2,3
0.004121581,-0.245326743,0.95675385,-0.013325926,-0.001135695,0.013315378,21:52.4,27,29,-0.239553988,-0.061995054,0.97040081,-0.050258067,0.019265005,1.20011121,22:07.9,14.9,103.3,2
-0.013329125,-0.156073153,0.94651854,-0.005594473,-0.008323791,-0.008229662,21:53.0,27.5,30,-0.226841956,0.001847601,0.950539529,-0.063544385,-0.072975648,0.871771097,22:08.9,15.4,104.4,2
-0.014069632,0.014081969,0.979661286,0.08634074,-0.006185763,-0.007924229,21:53.5,28,31,-0.103794389,0.094567708,1.252358109,-0.166780623,0.010712893,-0.094006855,22:10.0,15.9,105.4,5
-0.014810139,-0.020262975,0.952854693,-0.015068054,-0.000675139,-0.020737005,21:54.0,28.5,32,0.022362424,-0.147992099,1.048505723,0.321148016,-0.014790731,-0.205184333,22:11.1,16.4,106.5,5
0.035639551,-0.026534848,1.078358531,0.000509009,-0.020833692,0.015304042,21:54.6,29.1,33,-0.067262717,0.137321908,1.043022513,-0.032390255,0.109367628,0.061000193,22:12.1,17,107.5,4
