acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Minutes,Label
-0.047886115,-0.026293622,0.959678233,-0.002900861,-0.001914654,-0.014122079,39:37.1,8.4,1,-0.04936713,-0.031118141,0.959068984,-0.002590071,-0.000248764,-0.012288075,39:37.7,0,15.5,00:15.5,5
-0.050848145,-0.035942659,0.958459735,-0.002279282,0.001417127,-0.010454071,39:37.7,8.9,2,-0.05171207,-0.031600592,0.960043699,0.000479452,0.002388227,-0.005089769,39:38.7,0.5,16.6,00:16.6,5
-0.05405701,-0.029912012,0.96016556,0.00165011,0.002265743,-0.005926671,39:38.2,9.5,3,-0.050107636,-0.034133464,0.959921896,0.002404131,-0.002362324,-0.007799712,39:39.8,1.1,17.6,00:17.6,5
-0.04936713,-0.033289172,0.959921837,-0.000691205,0.002510711,-0.004252868,39:38.7,10,4,-0.051712068,-0.033530397,0.960409254,0.001848366,0.000609716,-0.006612125,39:40.8,1.6,18.7,00:18.7,5
-0.050354473,-0.032565497,0.960652947,0.001368314,-0.00615043,-0.008830104,39:39.2,10.5,5,-0.049737383,-0.035580819,0.959434479,-0.000645876,0.001312924,-0.006018495,39:41.9,2.1,19.8,00:19.8,5
-0.049860798,-0.035701431,0.959190845,0.003439948,0.001425783,-0.006769321,39:39.8,11,6,-0.05171207,-0.035339594,0.961262226,0.005542174,0.00031608,-0.004299837,39:43.0,2.6,20.9,00:20.9,5
-0.051341813,-0.034977753,0.959921837,0.001553774,0.001673512,-0.005357636,39:40.3,11.6,7,-0.057882959,-0.016402578,0.957484931,-0.003173843,0.00111889,-0.006558835,39:44.0,3.2,21.9,00:21.9,5
-0.052082323,-0.032083042,0.960896671,0.002142958,-0.00045408,-0.007866614,39:40.8,12.1,8,-0.044800671,-0.007624445,0.96491769,0.0108307,-0.00513391,-0.006570894,39:45.1,3.7,23,00:23.0,5
-0.051341813,-0.035942659,0.960652947,-0.000631161,-0.000789715,-0.007639742,39:41.3,12.6,9,-0.052822828,-0.032927335,0.957241237,0.003529187,0.002920392,-0.005139465,39:46.1,4.2,24,00:24.0,5
-0.048132952,-0.03521898,0.958216012,-0.000660591,0.003415562,-0.004397249,39:41.9,13.2,10,-0.051588649,-0.035580819,0.957972318,-0.000263106,0.001710208,-0.004391824,39:47.2,4.8,25.1,00:25.1,5
-0.052822832,-0.03521898,0.960896671,0.009500943,0.00062426,-0.003334646,39:42.4,13.7,11,-0.050971562,-0.033289174,0.958825231,-0.00081664,0.000992753,-0.004394055,39:48.3,5.3,26.2,00:26.2,5
-0.050601307,-0.035460208,0.961627781,0.001583405,7.90E-06,-0.005265028,39:43.0,14.3,12,-0.05097156,-0.038475528,0.959800065,0.000788778,0.002273681,-0.002902426,39:49.3,5.9,27.2,00:27.2,5
-0.056525361,-0.033047948,0.956266463,-0.008343913,-0.002054081,-0.007191634,39:43.5,14.8,13,-0.052946245,-0.036786951,0.959434479,-0.000453699,0.001406276,-0.003731128,39:50.4,6.4,28.3,00:28.3,5
-0.059240557,0.000242793,0.958703399,0.001996227,0.00429186,-0.005926036,39:44.0,15.3,14,-0.050724724,-0.034374691,0.957972318,0.000464614,2.26789E-05,-0.003243194,39:51.4,6.9,29.3,00:29.3,5
-0.041221555,0.0293779,0.97040087,0.025610432,-0.015322698,-0.011017821,39:44.6,15.9,15,-0.051465232,-0.038596142,0.958216012,0.001422875,0.00049877,-0.002302269,39:52.5,7.5,30.4,00:30.4,5
-0.048379786,-0.044626791,0.959434509,-0.003949031,0.005054879,-0.002123968,39:45.1,16.4,16,-0.05047789,-0.035580819,0.959312677,0.000468407,0.000923672,-0.00108058,39:53.6,8,31.5,00:31.5,5
-0.053563334,-0.03063569,0.956266463,0.000871293,0.004326172,-0.003860017,39:45.6,16.9,17,-0.050477888,-0.029550171,0.961384028,0.001449093,0.000831204,-0.001545281,39:54.6,8.5,32.5,00:32.5,5
-0.052082323,-0.03521898,0.958216012,0.006187081,0.001514612,-0.006418912,39:46.1,17.4,18,-0.044430416,-0.020866041,0.962115139,-0.001984306,0.039289385,-0.002243483,39:55.7,9,33.6,00:33.6,5
-0.050601307,-0.035942659,0.956510127,-0.002982698,0.001739193,-0.005374725,39:46.7,18,19,-0.053933589,-0.043179434,0.95809415,0.001415789,-0.002257473,-0.001936046,39:56.7,9.6,34.6,00:34.6,5
-0.052575991,-0.03521898,0.959434509,0.002456486,0.001681224,-0.003408924,39:47.2,18.5,20,-0.064424107,-0.038957982,0.961993307,-0.001667771,-0.004103209,0.000724733,39:57.8,10.1,35.7,00:35.7,5
-0.050354473,-0.028223429,0.959921837,-0.002634585,0.002515991,-0.003875711,39:47.7,19,21,-0.044183582,-0.047762727,0.96284622,-0.000916682,0.000287525,-0.00247987,39:58.9,10.6,36.8,00:36.8,5
-0.051588651,-0.038354918,0.957728624,0.001001306,-0.000530486,-0.0049124,39:48.3,19.6,22,-0.050724726,-0.034977756,0.957363069,0.001933094,-0.000538189,-0.000254854,39:59.9,11.2,37.8,00:37.8,5
-0.048132952,-0.037148785,0.961871505,-0.000228219,0.001559008,-0.003878049,39:48.8,20.1,23,-0.042949403,0.018120164,0.952245414,0.004169233,-0.001259774,0.013078286,40:01.0,11.7,38.9,00:38.9,5
-0.053810168,-0.039802272,0.957728624,0.001805775,0.002988353,-0.001926804,39:49.3,20.6,24,-0.009256337,-0.005934296,0.993917614,0.016822297,0.010068734,0.085868783,40:02.0,12.2,39.9,00:39.9,1
-0.052329157,-0.037390016,0.960652947,-0.001512282,0.001432675,-0.004550136,39:49.9,21.2,25,-0.073433606,0.071381014,0.95200178,-0.016222572,-0.014870048,-0.067158805,40:03.1,12.8,41,00:41.0,1
-0.053563334,-0.036183886,0.958216012,0.000604883,0.001379876,-0.002912121,39:50.4,21.7,26,-0.005942294,-0.04052595,1.031690627,0.002135763,0.011205134,-0.120000236,40:04.2,13.3,42.1,00:42.1,1
-0.049860798,-0.029912012,0.956997514,-0.000591241,0.000468315,-0.002550086,39:50.9,22.2,27,-0.126133017,-0.004299745,0.882670015,0.012094695,0.004599025,0.067839239,40:05.2,13.8,43.1,00:43.1,5
-0.051588651,-0.03883737,0.958947122,0.00152047,-0.000422957,-0.003936303,39:51.4,22.7,28,-0.068867147,-0.104571421,0.985022604,0.169545203,-0.002884074,-0.035855138,40:06.3,14.3,44.2,00:44.2,5
-0.051835485,-0.038596142,0.957484901,0.001149297,0.001413124,-0.002654376,39:52.0,23.3,29,-0.003374156,-0.050898666,0.929581642,0.017897915,-0.015406812,-0.064565802,40:07.3,14.9,45.2,00:45.2,5
-0.051094979,-0.038596142,0.958947122,0.001696452,-0.000415585,-0.001950163,39:52.5,23.8,30,0.004030913,-0.029308947,0.925560623,0.038514622,0.029033634,-0.04730886,40:08.4,15.4,46.3,00:46.3,5
-0.050601307,-0.035942659,0.959678233,-0.001327753,0.000193819,-0.00095903,39:53.0,24.3,31,-0.10564566,-0.041973304,1.04692167,-0.037079956,0.013914719,0.07608592,40:09.5,15.9,47.3,00:47.3,5
-0.050354473,-0.03521898,0.958947122,0.002264567,0.001653526,-0.001202129,39:53.6,24.9,32,0.033335127,0.019693614,0.800178587,0.210015044,0.005209891,-0.083808057,40:10.5,16.5,48.4,00:48.4,5
