acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Minutes,Label,
0.017213661,-0.052587245,0.970644593,0.008510515,-0.001914654,-0.00931729,55:54.5,36.3,1,0.018910781,-0.039440433,0.969913483,0.006409165,-0.000253811,-0.009502689,55:55.0,0,20.5,00:20.5,5,
0.020607902,-0.026293622,0.969182372,0.004307814,0.001407032,-0.009688089,55:55.0,36.8,2,0.018789559,-0.054999504,0.961018503,0.001684524,0.000609135,-0.007036552,55:56.1,0.5,21.6,00:21.6,5,
0.019153228,-0.053069696,0.961384058,0.00304883,0.001074976,-0.006702857,55:55.6,37.3,3,0.01842589,-0.015348373,0.967476487,0.001202919,-0.001814505,0.026340889,55:57.1,1,22.6,00:22.6,5,
0.018425889,-0.056929313,0.960652947,0.000320219,0.000143295,-0.007370248,55:56.1,37.9,4,0.023396031,0.051593422,0.970035285,-0.029368656,-0.033863081,0.237364441,55:58.2,1.6,23.7,00:23.7,1,
0.026669051,-0.058617894,0.955047965,-0.000906795,-0.001072772,-0.004477414,55:56.6,38.4,5,0.011130563,-0.063441623,1.016703278,0.018431544,-0.045774954,0.25019262,55:59.3,2.1,24.7,00:24.7,1,
0.010182728,0.027921148,0.979905009,0.003312632,-0.002556238,0.057159193,55:57.1,38.9,6,0.034926897,-0.038354916,0.897901058,0.00881042,-0.018438736,-0.229489326,56:00.3,2.6,25.8,00:25.8,1,
0.022062579,0.002427926,0.971131921,-0.010126401,-0.012940947,0.182081133,55:57.7,39.4,7,0.006095082,-0.070076123,1.017434359,0.006672392,0.026918009,-0.36006178,56:01.4,3.1,26.9,00:26.9,1,
0.024729483,0.100758918,0.968938649,-0.048610911,-0.054785214,0.292647749,55:58.2,40,8,0.173954941,-0.077554123,1.032178015,-0.050443508,0.061584614,-0.385259956,56:02.4,3.7,27.9,00:27.9,5,
-0.002468356,0.000242793,1.158534884,-0.07029663,-0.028518012,0.330521405,55:58.8,40.5,9,0.075521905,-0.059824022,0.998791546,-0.071976509,0.04264779,-0.21605029,56:03.5,4.2,29,00:29.0,5,
0.024729483,-0.127126038,0.874871671,0.107159719,-0.063031897,0.169863835,55:59.3,41,10,-0.02715547,-0.104450811,0.974421829,0.019653279,-0.043789641,0.623889439,56:04.6,4.7,30,00:30.0,5,
-0.039246868,-0.026052397,0.874384344,0.004534364,-0.031877771,-0.150534987,55:59.8,41.6,11,-0.094044384,-0.071764704,1.050089717,-0.069838479,-0.045774953,0.349305502,56:05.6,5.3,31.1,00:31.1,2,
0.109100662,-0.050657436,0.921417773,0.013086475,-0.0049997,-0.308443666,56:00.3,42.1,12,0.20365458,-0.130020756,1.002325118,-0.021580124,0.039135315,-0.964054763,56:06.7,5.8,32.1,00:32.1,3,
-0.023449387,-0.079604544,1.045459509,0.052487284,0.018213179,-0.406792969,56:00.9,42.6,13,0.008118205,-0.040699024,0.873287678,0.032786885,0.032721229,0.238891616,56:07.7,6.3,33.2,00:33.2,2,
0.035639551,-0.060547702,0.989409208,-0.039142501,0.035622839,-0.313330591,56:01.4,43.2,14,-0.166367233,-0.049210082,0.937136233,0.004992515,-0.065780789,1.013926864,56:08.8,6.9,34.3,00:34.3,5,
0.215534419,-0.126884818,1.129778624,-0.062049948,0.080216005,-0.368613869,56:01.9,43.7,15,0.131772566,-0.032382978,1.039488912,0.065010026,0.005690444,-0.505600378,56:09.9,7.4,35.3,00:35.3,5,
0.132375464,-0.028223429,0.934577405,-0.038837068,0.042953223,-0.401906043,56:02.4,44.2,16,0.191895947,-0.104450814,0.943594187,0.065162737,0.069373142,-1.023766905,56:10.9,7.9,36.4,00:36.4,3,
0.048974074,-0.040767174,1.00451839,-0.062660813,0.0521162,-0.216203004,56:03.0,44.7,17,0.005275212,-0.032192668,1.072388023,-0.096869268,0.009508351,0.499578349,56:12.0,8.4,37.4,00:37.4,2,
0.102069736,-0.078880869,0.993064702,-0.081292205,0.03317938,-0.215897575,56:03.5,45.3,18,-0.0023885,0.084006235,1.125148326,0.274384089,-0.044858657,1.0301148,56:13.0,9,38.5,00:38.5,2,
0.082189165,-0.091183387,1.015241027,-0.000352554,-0.003777969,0.22270368,56:04.0,45.8,19,-0.127120357,-0.199011367,1.132093728,0.268580876,-0.102127273,0.475754604,56:14.1,9.5,39.5,00:39.5,2,
-0.136500105,-0.117718235,0.933602631,0.039659113,-0.083801314,1.025075197,56:04.6,46.3,20,-0.042702569,-0.15016311,1.037051976,0.073714854,-0.018591453,0.019590974,56:15.2,10,40.6,00:40.6,5,
-0.05726587,-0.04052595,1.11588788,-0.082208499,-0.099989243,0.715977371,56:05.1,46.9,21,0.258447349,-0.05198418,1.07421577,-0.073961824,0.220867727,-1.165793061,56:16.2,10.6,41.7,00:41.7,5,
-0.130822897,-0.103003457,0.984291553,-0.057468459,0.008439336,-0.017366366,56:05.6,47.4,22,0.288995519,0.002839899,0.907648951,-0.016387772,0.06005745,-1.45519042,56:17.3,11.1,42.7,00:42.7,5,
0.261114269,-0.124955006,1.016946912,-0.022954572,0.060362883,-1.066527367,56:06.2,47.9,23,0.146922227,-0.032376714,0.944812685,-0.033950146,0.02859789,-0.963596672,56:18.3,11.6,43.8,00:43.8,3,
