acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Label
-0.05109497905,0.5916854739,0.6955108047,-0.03325742483,0.001076056855,0.07853128761,2022-07-08 17:54:21,1733.4,1,-0.02887977078,0.6540831625,0.7214645147,-0.05097252131,0.001686922042,0.03989406227,54:21.5,0,13.6,
-0.006664562505,0.7164808512,0.7474182248,-0.06868761778,0.002297787229,0.001256836927,2022-07-08 17:54:21,1734,2,-0.02122786548,0.687467128,0.6861284971,-0.04868177325,0.007031993009,0.001562269521,54:22.5,0.6,14.6,
-0.02024052292,0.6888024807,0.6877124906,-0.04975079,0.008406439796,0.002784000011,2022-07-08 17:54:22,1734.5,3,-0.02233862504,0.6879527569,0.6886872947,-0.04990350455,0.00733742537,0.0006459716824,54:23.6,1.1,15.7,
-0.02221520804,0.6861317754,0.6845445037,-0.04761275649,0.005657546222,0.0003405390307,2022-07-08 17:54:23,1735,4,-0.02752217464,0.68625319,0.6590781212,-0.04364214092,0.004893964506,0.0009514042758,54:24.7,1.6,16.8,
-0.02369622141,0.6880741715,0.6855192184,-0.05127795041,0.00657384377,0.001867702114,2022-07-08 17:54:23,1735.6,5,-0.02283229865,0.6875885725,0.6875906587,-0.04868177325,0.005504829809,0.0004932553275,54:25.7,2.2,17.8,
-0.02098102868,0.6878313422,0.691855371,-0.04852905869,0.00810100697,-0.0005757587496,2022-07-08 17:54:24,1736.1,6,-0.02604116127,0.6877099574,0.6844226122,-0.04959807545,0.006879276596,-0.0001176098594,54:26.8,2.7,18.9,
-0.02937344275,0.6909876466,0.6238639355,-0.04669646919,0.001992354868,0.001256836927,2022-07-08 17:54:24,1736.6,7,-0.01974685118,0.6920802295,0.6790612638,-0.0505143702,0.006421127357,0.0007986880373,54:27.9,3.2,20,
-0.02567090653,0.6815187335,0.6942923069,-0.04058781266,0.007795574144,0.0006459716242,2022-07-08 17:54:25,1737.2,8,-0.02554748952,0.6883169711,0.686250329,-0.0488344878,0.006268410943,-0.03661681066,54:29.0,3.8,21.1,
-0.02246204577,0.6880741715,0.6879561543,-0.04730732739,0.005657546222,0.0009514042176,2022-07-08 17:54:25,1737.7,9,-0.02505381778,0.6871029735,0.6906368732,-0.04883449525,0.006726560183,0.001714985818,54:30.1,4.3,22.2,
-0.02320255153,0.6871029735,0.687225163,-0.0500562191,0.005352113396,3.51E-05,2022-07-08 17:54:26,1738.2,10,-0.02320255153,0.6872243881,0.6555445492,-0.04730732739,0.005962978583,0.002325851005,54:31.1,4.8,23.2,
