acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,,,,,,,,
0.014789201,0.724978626,0.671384811,-0.08945702,-0.042295374,-0.028980991,13:07.2,12578.5,,,,,,,,
0.002666905,0.676905692,0.687956154,-0.05983007,0.006879277,-0.00301922,13:07.7,12579.1,,,,,,,,
0.003636689,0.675206184,0.69039315,-0.061051801,0.005352113,-0.004240951,13:08.3,12579.6,,,,,,,,
0.003151797,0.675934553,0.689662099,-0.06288439,0.005962978,-0.003935518,13:08.8,12580.1,,,,,,,,
0.002666905,0.675691724,0.691611648,-0.06288439,0.005657546,-0.006073547,13:09.4,12580.7,,,,,,,,
0.002424459,0.673021019,0.692099035,-0.062578961,0.007795574,-0.003935518,13:09.9,12581.2,,,,,,,,
0.002666905,0.675448954,0.692586482,-0.061051801,0.00382495,-0.004851815,13:10.4,12581.8,,,,,,,,
0.003394243,0.676905692,0.69039315,-0.061968088,0.00382495,-0.006073547,13:11.0,12582.3,,,,,,,,
0.003151797,0.671321452,0.694292307,-0.063495263,0.005046681,-0.004240951,13:11.5,12582.9,,,,,,,,
0.002666905,0.676177323,0.689662099,-0.062273532,0.005046681,-0.006073547,13:12.1,12583.4,,,,,,,,
0.003879135,0.674963355,0.692586482,-0.061662659,0.005962978,-0.004851815,13:12.7,12584,,,,,,,,
0.001697121,0.685160637,0.746930897,-0.069603905,0.005046681,-0.006684411,13:13.2,12584.5,,,,,,,,
0.003636689,0.658453465,0.702578008,-0.067771316,0.00260322,-0.00301922,13:13.7,12585.1,,,,,,,,
0.002909351,0.668165147,0.74644345,-0.061968088,0.005962978,-0.003935518,13:14.3,12585.6,,,,,,,,
0.001697121,0.686860204,0.660418451,-0.067771316,0.007184709,-0.006073547,13:14.9,12586.2,,,,,,,,
0.049943861,0.690016508,0.623620212,-0.074185401,0.010239035,-0.012182198,13:15.4,12586.7,,,,,,,,
-0.08145576,0.676420152,0.746930897,-0.077239722,0.038033407,0.020193661,13:16.0,12587.3,,,,,,,,
0.00654604,0.634659827,0.744006515,-0.072658241,0.030092156,0.017750198,13:16.5,12587.8,,,,,,,,
0.055035222,0.648256123,0.683813393,-0.071436509,0.017569419,-0.005157248,13:17.1,12588.4,,,,,,,,
-0.009379755,0.696571887,0.63507396,-0.060746357,-0.01480644,0.01103068,13:17.6,12589,,,,,,,,
-0.000987343,0.575904012,0.568057358,-0.052499682,0.018180283,0.013168709,13:18.2,12589.5,,,,,,,,
-0.057019036,0.643157542,0.541738093,-0.099536315,0.003214085,0.01561217,13:18.7,12590,,,,,,,,
0.0977057,0.653111994,0.61801523,-0.188722625,-0.016944468,0.011641546,13:19.3,12590.6,,,,,,,,
0.212867513,0.735175908,0.246621206,-0.368927836,0.154708669,-0.034173347,13:19.8,12591.1,,,,,,,,
-0.059240557,0.47028923,0.70818305,0.024163902,0.425321966,0.270343006,13:20.4,12591.7,,,,,,,,
-0.006417727,0.647770584,0.689174712,-0.063800693,0.145545691,0.075782396,13:20.9,12592.2,,,,,,,,
0.095523693,0.717694879,0.741325855,-0.004241332,-0.246018931,-0.260804325,13:21.5,12592.8,,,,,,,,
0.015274093,0.740274549,0.994039416,-0.071131065,-0.209367022,-0.201244995,13:22.0,12593.4,,,,,,,,
-0.052575991,0.682004392,0.675771356,-0.032035694,0.00260322,0.006754624,13:22.6,12593.9,,,,,,,,
