acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Minutes,Label,
-0.017031658,0.683703899,0.68088901,-0.074796259,-0.006559758,-0.043947194,33:11.5,49.7,1,-0.018019001,0.690744877,0.67881757,-0.056623019,-0.004269014,-0.022566909,33:12.0,0,33.5,00:33.5,5,
-0.019006344,0.697785854,0.67674613,-0.038449779,-0.001978269,-0.001186624,33:12.0,50.2,2,-0.016291153,0.704341263,0.67333442,-0.039976947,0.004283099,-0.005004532,33:13.1,0.5,34.6,00:34.6,5,
-0.020734195,0.698757052,0.678452075,-0.042114973,0.00260322,-0.004546383,33:12.5,50.8,3,-0.022338626,0.699242622,0.678208351,-0.040740527,0.00260322,-0.003324653,33:14.1,1.1,35.7,00:35.7,5,
-0.011848111,0.709925473,0.668216765,-0.037838921,0.005962978,-0.005462681,33:13.1,51.3,4,-0.019623434,0.697543055,0.6801579,-0.038297065,0.000312475,-0.002102922,33:15.2,1.6,36.8,00:36.8,5,
-0.029620279,0.696814716,0.681132734,-0.040893242,0.003214085,-0.003630085,33:13.6,51.8,5,-0.041591806,0.752414197,0.629956365,-0.035700887,0.037269823,0.025691446,33:16.3,2.1,37.8,00:37.8,1,
-0.015056974,0.701670527,0.675283968,-0.040587813,0.001992355,-0.00301922,33:14.1,52.4,6,-0.038515819,0.755934685,0.720611542,-0.022414573,0.271383934,0.337232731,33:17.4,2.7,38.9,00:38.9,1,
-0.023943057,0.695600688,0.686494052,-0.043031275,0.001076057,-0.002408355,33:14.7,52.9,7,-0.030854456,0.724614441,0.580851436,-0.069909342,0.505650759,0.509649456,33:18.5,3.2,40,00:40.0,1,
-0.01530381,0.699485421,0.673821747,-0.033562854,-0.000451106,-0.001797489,33:15.2,53.5,8,0.017815385,0.719273001,0.670166314,-0.016000479,0.457392409,0.451464534,33:19.5,3.8,41.1,00:41.1,1,
-0.040481046,0.741245747,0.65286386,-0.040893242,0.000465192,-0.006989844,33:15.8,54,9,0.090189885,0.791867971,0.76277113,0.097773157,0.060177268,0.047682591,33:20.6,4.3,42.1,00:42.1,3,
-0.042702567,0.763582647,0.607048869,-0.030508533,0.074074455,0.058372736,33:16.3,54.5,10,0.384034321,0.667679548,0.784216493,-0.060746357,-0.900866538,-0.977043837,33:21.6,4.8,43.2,00:43.2,3,
