acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Label
0.02133524,0.651412487,0.722317457,0.069403276,0.033790596,0.151385367,40:26.2,9.6,1,0.027153943,0.663187921,0.717199832,0.026944123,0.015952679,0.0762304,40:26.7,0,0.6,5
0.032972645,0.674963355,0.712082207,-0.015515029,-0.001885239,0.001075433,40:26.7,10.2,2,0.034063652,0.715145528,0.70611164,-0.013890095,-0.004755164,-0.037274437,40:27.8,0.6,1.7,5
0.033457536,0.685160637,0.705502391,-0.015264541,-0.003991582,-0.077133395,40:27.3,10.7,3,0.03770034,0.676905692,0.7157377,-0.016419232,-0.002500084,0.001802809,40:28.9,1.1,2.7,5
0.034669768,0.74513042,0.706720889,-0.012515649,-0.005518746,0.002584521,40:27.8,11.3,4,0.031760417,0.681761563,0.710741878,-0.017300107,-0.000156551,0.000833742,40:30.0,1.7,3.8,5
0.039518684,0.679819226,0.7157377,-0.015341207,-0.000880781,0.000777334,40:28.4,11.8,5,0.03406365,0.674720556,0.715372115,-0.016673036,-0.0011721,0.001091585,40:31.0,2.2,4.9,5
0.035881996,0.673992157,0.7157377,-0.017497256,-0.004119387,0.002828284,40:28.9,12.3,6,0.032366531,0.670228899,0.720002323,-0.014708653,-0.001090347,0.000431714,40:32.1,2.7,5.9,5
0.031760417,0.68904531,0.705989778,-0.018476114,-0.001355096,-0.000223555,40:29.4,12.9,7,0.025335598,0.674477756,0.72390148,-0.011035025,-0.002840858,0.002571121,40:33.2,3.3,7,5
0.031760417,0.674477816,0.715493977,-0.016124099,0.001041995,0.001891038,40:30.0,13.4,8,0.033821205,0.673385203,0.71500653,-0.011941999,-0.001530776,0.000571016,40:34.3,3.8,8.1,5
0.032972645,0.67204982,0.718174636,-0.016808048,-0.000739014,-0.000253899,40:30.5,13.9,9,0.035639549,0.675206155,0.711107433,-0.013083607,0.000230971,-0.000717787,40:35.4,4.3,9.2,5
0.035154656,0.677391291,0.712569594,-0.016538024,-0.001605186,0.00243707,40:31.0,14.5,10,0.034912214,0.673749387,0.711107433,-0.010399982,-0.001023809,0.001320031,40:36.4,4.9,10.3,5
0.032730199,0.66646564,0.726216614,-0.01453577,-0.000956132,0.000299168,40:31.6,15,11,0.033821205,0.673749417,0.714031756,-0.011600457,-0.001264525,0.000953222,40:37.5,5.4,11.3,5
0.032002863,0.673992157,0.713788033,-0.014881536,-0.001224562,0.000564261,40:32.1,15.5,12,0.034427321,0.676662922,0.713178813,-0.011611983,0.03652845,0.000797882,40:38.6,5.9,12.4,5
0.033942427,0.674963355,0.714275479,-0.014415801,-0.000883447,-0.000335257,40:32.7,16.1,13,0.033578759,0.673870802,0.714397311,-0.010845996,-0.001439442,0.00015298,40:39.7,6.5,13.5,5
0.016728768,0.673992157,0.733527482,-0.00765425,-0.004798268,0.005477498,40:33.2,16.6,14,0.038791347,0.665494442,0.69721666,-0.006345712,-0.000517539,-0.005201874,40:40.7,7,14.6,5
0.033457536,0.675691724,0.713300645,-0.012630701,-0.001114034,0.00088095,40:33.7,17.2,15,0.049822636,0.693294227,0.687103271,-0.007427648,-0.008198822,-0.022901095,40:41.8,7.6,15.6,5
0.034184873,0.671078682,0.716712415,-0.011253297,-0.001947518,0.000261083,40:34.3,17.7,16,-0.01460889,0.691351831,0.719027579,-0.016989991,0.00291001,0.018174657,40:42.9,8.1,16.7,4
0.033457536,0.676905692,0.709888935,-0.012730494,-0.000991801,0.001128043,40:34.8,18.3,17,0.098311821,0.691716045,0.728044361,-0.01072862,-0.041683152,-0.048104212,40:44.0,8.7,17.8,5
0.037821561,0.673506618,0.712325931,-0.01343672,0.001453744,-0.002563618,40:35.4,18.8,18,-0.039246868,0.711989194,0.729993939,0.028061323,0.079573598,0.074221544,40:45.1,9.2,18.9,1
0.034912214,0.673263788,0.709888935,-0.009675473,-0.002107455,0.001950614,40:35.9,19.3,19,0.031789455,0.659424633,0.700141042,-0.00889603,0.036202165,0.043983712,40:46.2,9.7,20,1
0.034912214,0.674234986,0.712325931,-0.011124492,5.98E-05,0.000689448,40:36.4,19.9,20,0.038791347,0.622277379,0.717809081,-0.014932491,-0.029222086,-0.029246977,40:47.2,10.3,21.1,1
0.033942427,0.673021019,0.713788033,-0.011349246,-0.002344552,0.001872712,40:37.0,20.4,21,0.048974077,0.761154711,0.703796506,-0.005850039,-0.008208905,-0.000921322,40:48.3,10.8,22.1,5
0.033699982,0.674477816,0.714275479,-0.011851668,-0.000184499,3.37E-05,40:37.5,20.9,22,0.036609335,0.710046887,0.658712566,0.005144879,0.034480686,0.022543356,40:49.4,11.3,23.2,5
0.034669768,0.674234986,0.717199802,-0.014775068,-0.001970051,0.000358143,40:38.1,21.5,23,0.081340606,0.719151586,0.72658217,0.04882108,0.039907498,0.039441237,40:50.4,11.9,24.3,5
0.034184873,0.679090858,0.709157825,-0.008448899,0.075026952,0.001237621,40:38.6,22,24,-0.011677936,0.682975531,0.745956063,-0.049528226,0.07915559,0.146189936,40:51.5,12.4,25.3,5
0.032972645,0.673263788,0.714519143,-0.008907497,0.00049296,0.000616222,40:39.1,22.6,25,-0.048132953,0.658939064,0.689418405,-0.069381341,-0.028814842,-0.021798006,40:52.6,13,26.4,5
0.034184873,0.674477816,0.714275479,-0.012784496,-0.003371844,-0.000310262,40:39.7,23.1,26,0.011441886,0.62737602,0.769838333,0.00147903,-0.087152474,-0.117398418,40:53.7,13.5,27.5,5
0.044125158,0.634174168,0.711838484,-0.011833489,-0.001142221,-0.001816558,40:40.2,23.7,27,0.050549975,0.610744745,0.665048689,-0.044641301,-0.068673797,-0.046996195,40:54.8,14.1,28.6,5
0.033457536,0.696814716,0.682594836,-0.000857934,0.000107142,-0.008587189,40:40.7,24.2,28,0.081461824,0.648377568,0.767645031,0.00453335,-0.120444626,-0.085327987,40:55.9,14.6,29.7,5
0.033699982,0.715024173,0.68088901,-0.005442336,-0.008198822,-0.012974534,40:41.3,24.7,29,-0.226348303,0.594234794,0.562817872,-0.014708906,0.007073491,-0.02072899,40:56.9,15.1,30.8,5
0.06594529,0.671564281,0.693317533,-0.009412959,-0.008198822,-0.032827657,40:41.8,25.2,30,0.01711371,0.63016811,0.418549359,-0.02524633,-0.356085911,-0.189633243,40:58.0,15.6,31.9,5
