acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Label,,,
-0.087132983,0.679333568,0.595595121,-0.699405968,-0.07161691,-0.509426475,42:05.5,1318.1,1,-0.059363972,0.683096886,0.639094979,-0.376716405,-0.032979682,-0.2548484,42:06.0,0,0.6,5,,Key:,
-0.031594962,0.686860204,0.682594836,-0.054026842,0.005657546,-0.000270326,42:06.0,1318.7,2,-0.029743695,0.686131835,0.682594866,-0.05555401,0.005352113,-0.000270326,42:07.1,0.6,1.6,5,,,Delete 
-0.030854454,0.687588573,0.682838559,-0.05127795,0.002908652,-0.001492057,42:06.5,1319.2,3,-0.038259527,0.711867839,0.659443676,-0.060135499,0.005962978,0.005838326,42:08.2,1.1,2.7,5,,,Questionable = Acceleration? How does it work
-0.028632935,0.684675097,0.682351172,-0.05983007,0.007795574,0.000951404,42:07.1,1319.7,4,-0.037889271,0.701306343,0.668094933,-0.048834495,0.011460766,0.024622431,42:09.2,1.6,3.8,5,,,
-0.041468389,0.697543085,0.685275495,-0.05983007,0.002908652,-0.000575759,42:07.6,1320.3,5,-0.049108816,0.733354986,0.628372312,-0.052499689,0.007795574,-0.026842964,42:10.3,2.2,4.9,5,,,
-0.035050664,0.726192594,0.633611858,-0.060440928,0.009017305,0.012252411,42:08.2,1320.8,6,-0.102313375,0.703127295,0.461318135,-0.082584798,0.021540042,0.17306269,42:11.4,2.7,6,5,,,
-0.031101292,0.713567376,0.644334495,-0.046696469,0.016958553,0.034854423,42:08.7,1321.4,7,-0.049483124,0.795752674,0.796401292,0.065091878,-0.003047284,-0.003324653,42:12.5,3.3,7.1,5,,,
-0.04467725,0.68904531,0.691855371,-0.050972521,0.005962978,0.01439044,42:09.2,1321.9,8,0.026741988,0.630289525,0.725607365,-0.089762464,0.048112681,-0.014778376,42:13.5,3.8,8.1,5,,,
0.012364741,0.759697974,0.623620212,-0.087624446,0.005046681,-0.074185021,42:09.8,1322.5,9,-0.03289617,0.732869357,0.670897454,-0.029134087,-0.023511269,-0.000575759,42:14.6,4.4,9.2,5,,,
-0.110582374,0.707011998,0.633124411,-0.017374933,0.010544468,0.020499093,42:10.3,1323,10,-0.069977907,0.612444282,0.634830296,-0.048834495,0.029175859,0.009656234,42:15.7,4.9,10.3,5,,,
-0.049613964,0.730077267,0.648477316,-0.028981373,0.030092156,-0.014014794,42:10.8,1323.5,11,0.039946509,0.667679578,0.624351293,-0.06059365,-0.000756539,0.029203922,42:16.8,5.4,11.4,5,,,
-0.155012786,0.676177323,0.274158955,-0.136188224,0.012987928,0.360140175,42:11.4,1324.1,12,-0.017537665,0.705919415,0.622036189,0.060968533,-0.060468616,-0.077697501,42:17.9,6,12.5,5,,,
-0.179943189,0.934023023,0.672115922,0.152751043,0.019707447,-0.005768114,42:11.9,1324.6,13,-0.006307147,0.788590282,0.751439244,-0.045932882,0.026426965,0.029814787,42:18.9,6.5,13.5,5,,,
0.080976941,0.657482326,0.920686662,-0.022567287,-0.025802014,-0.000881192,42:12.5,1325.2,14,-0.065164612,0.672778219,0.646649569,-0.093580365,-0.000756539,0.004616595,42:20.0,7.1,14.6,1,,,
-0.005430384,0.575418413,0.800544143,-0.083348379,0.034673646,-0.057386227,42:13.0,1325.7,15,-0.103670975,0.657603681,0.69928813,-0.138631687,0.024441652,0.039283198,42:21.1,7.6,15.7,1,,,
0.05891436,0.685160637,0.650670588,-0.09617655,0.061551716,0.027829476,42:13.5,1326.2,16,-0.107496925,0.654204607,0.697338521,-0.077087015,-0.027940042,-0.05769166,42:22.2,8.1,16.8,1,,,
0.034669768,0.718180418,0.717687249,0.012252033,-0.028245475,-0.033867914,42:14.1,1326.8,17,-0.026164579,0.738575011,0.759481251,-0.026690625,0.023525355,0.026913178,42:23.2,8.7,17.8,1,,,
-0.100462109,0.747558296,0.624107659,-0.070520207,-0.018777063,0.032716397,42:14.6,1327.3,18,0.052223288,0.619121075,0.63373366,-0.111753613,0.050403433,0.074713381,42:24.3,9.2,18.9,5,,,
-0.039987374,0.643157542,0.601443827,-0.011877149,0.015431389,0.003394865,42:15.2,1327.9,19,-0.049243713,0.681640148,0.657981485,-0.040282376,0.119736634,0.212463491,42:25.4,9.8,20,5,,,
