acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Label
0.013334526,-0.022434007,0.955779076,0.003705725,0.001989237,-0.013221182,45:59.8,1728.2,1,0.010788844,-0.02737914,0.958337873,0.003758788,0.001365581,-0.010198471,46:00.3,0,13.5,5
0.008243161,-0.032324273,0.960896671,0.003811851,0.000741925,-0.00717576,46:00.3,1728.7,2,0.009334168,-0.034133466,0.960653007,0.007328212,0.00100605,-0.006168189,46:01.4,0.5,14.5,5
0.008970499,-0.035942659,0.962358892,0.002228722,0.00250385,-0.00719146,46:00.8,1729.2,3,0.008849276,-0.035701433,0.960409254,0.004732627,0.001602359,-0.005959557,46:02.4,1,15.6,5
0.009697837,-0.032324273,0.958947122,0.012427703,-0.000491751,-0.005144919,46:01.4,1729.7,4,0.00981906,-0.034736529,0.959312618,0.00373387,-4.2323E-05,-0.007401992,46:03.5,1.5,16.6,5
0.008485607,-0.032324273,0.960652947,0.004041664,0.00191694,-0.006394178,46:01.9,1730.3,5,0.010546397,-0.037028177,0.959921896,0.004192546,0.001291401,-0.005019595,46:04.5,2.1,17.7,5
0.009212945,-0.039078593,0.96016556,0.005423591,0.001287777,-0.005524937,46:02.4,1730.8,6,0.008364384,-0.035580818,0.959068984,0.005138174,0.000148212,-0.00507157,46:05.6,2.6,18.7,5
0.011637404,-0.03111814,0.958703399,0.004082009,0.00038938,-0.007677568,46:02.9,1731.3,7,0.010061506,-0.029670786,0.959678233,0.002491709,-0.000604596,-0.004854405,46:06.6,3.1,19.8,5
0.008000716,-0.038354918,0.959921837,0.00338573,-0.000474026,-0.007126416,46:03.5,1731.8,8,0.00860683,-0.037390016,0.958947122,0.003175221,0.00071665,-0.004929609,46:07.7,3.6,20.8,5
0.01066762,-0.037390016,0.961384058,0.005309366,0.001313287,-0.002990043,46:04.0,1732.4,9,0.009091722,-0.036304498,0.959921896,0.001913633,0.000101542,-0.004241399,46:08.7,4.2,21.9,5
0.010425175,-0.036666337,0.958459735,0.003075726,0.001269514,-0.007049147,46:04.5,1732.9,10,0.009091722,-0.037751852,0.959068984,0.002602369,3.76874E-05,-0.005149682,46:09.8,4.7,22.9,5
0.00775827,-0.037872463,0.959190845,0.003268458,-0.000594784,-0.00651894,46:05.0,1733.4,11,0.008970499,-0.035822045,0.960896701,0.00184102,5.6487E-06,-0.005410696,46:10.8,5.2,24,5
0.008970499,-0.033289172,0.958947122,0.007007889,0.000891208,-0.003624199,46:05.6,1733.9,12,0.008364384,-0.036183884,0.958459735,0.002714228,0.00018756,-0.006271644,46:11.9,5.7,25.1,5
