,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Label
0.025941715,-0.032565497,0.961871505,0.005907103,0.02523612,0.007016802,30:04.1,26.1,1,0.025093153,-0.034495303,0.961262226,0.000902522,0.012561631,-0.000399495,30:04.6,0,11.5,5
0.024244592,-0.03642511,0.960652947,-0.004102059,-0.000112858,-0.007815792,30:04.6,26.6,2,0.023759699,-0.03642511,0.962358862,-7.84732E-06,0.001176314,-0.008745644,30:05.6,0.5,12.5,5
0.023274807,-0.039319821,0.960409284,-0.004351426,0.001382306,-0.00814579,30:05.1,27.1,3,0.020607904,-0.039922884,0.961993307,0.002148263,-0.002478145,-0.007559269,30:06.7,1,13.6,5
0.024244592,-0.033530399,0.964308441,0.004335731,0.000970321,-0.009345498,30:05.6,27.6,4,0.02133524,-0.026655462,0.962602556,-0.000186795,0.000646707,-0.006306191,30:07.8,1.5,14.7,5
0.021092795,-0.046556596,0.961140394,-0.001428671,-0.001179257,-0.008463686,30:06.2,28.2,5,0.023517254,-0.03521898,0.962968111,-0.000833407,0.001004715,-0.00683291,30:08.8,2.1,15.7,5
0.020123012,-0.033289172,0.96284622,0.005725197,-0.003777033,-0.006654852,30:06.7,28.7,6,0.022547469,-0.022072169,0.961749583,-0.00439574,-0.034854427,-0.005637074,30:09.9,2.6,16.8,5
0.020607902,-0.016885813,0.961871505,0.004184283,-0.000698618,-0.008519994,30:07.2,29.2,7,0.025578044,-0.037028173,0.961384088,0.000407547,0.00426178,-0.006271034,30:10.9,3.1,17.8,5
0.022062579,-0.03642511,0.963333607,-0.004557874,0.001992032,-0.004092389,30:07.8,29.8,8,0.019153227,-0.034857142,0.961871445,0.000967089,-0.002159088,-0.005562143,30:12.0,3.7,18.9,5
0.0237597,-0.035460208,0.963821054,-0.002074219,0.000444327,-0.006958979,30:08.3,30.3,9,0.022426247,-0.032927334,0.96150592,-0.000719566,0.001549945,-0.004279611,30:13.1,4.2,20,5
0.023274807,-0.034977753,0.962115169,0.000407405,0.001565102,-0.00670684,30:08.8,30.8,10,0.020607904,-0.033409787,0.960409254,-0.000685602,-0.00023951,-0.00620611,30:14.1,4.7,21,5
0.027396388,-0.019780524,0.966257989,-0.004320111,0.000657462,-0.006182996,30:09.4,31.4,11,0.022426247,-0.04957192,0.957606733,-0.002062496,-0.000180202,-0.004481261,30:15.2,5.3,22.1,5
0.017698551,-0.024363814,0.957241178,-0.004471369,-0.070366316,-0.005091153,30:09.9,31.9,12,0.022426247,-0.032203658,0.964186549,-0.000438046,0.003306129,-0.004414288,30:16.2,5.8,23.1,1
0.026184158,-0.037148785,0.961140394,0.000406757,0.006728359,-0.00427039,30:10.4,32.4,13,0.021092795,-0.038957983,0.962358832,0.000814449,0.001891071,-0.003125441,30:17.3,6.3,24.2,1
0.02497193,-0.036907561,0.961627781,0.000408337,0.001795201,-0.008271678,30:10.9,32.9,14,0.020607902,0.005086914,0.927022815,-0.003677836,-0.003304973,-0.028566562,30:18.4,6.8,25.3,1
0.012122296,-0.04052595,0.96284622,0.003662691,0.002916374,-0.002946406,30:11.5,33.5,15,0.038670125,-0.019124171,0.954560578,0.021251878,0.005423654,-0.07144477,30:19.4,7.4,26.3,1
0.026184158,-0.029188333,0.960896671,-0.001728512,-0.007234549,-0.008177881,30:12.0,34,16,0.047795274,-0.035822045,0.905577481,0.017488947,0.004410446,0.066747868,30:20.5,7.9,27.4,1
