acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Label,,
0.029820848,-0.027982203,0.953098357,0.003763042,0.006499891,0.012284616,34:23.8,45.4,1,0.031033076,-0.02581117,0.958581537,0.010208495,0.002245418,0.00838671,34:24.3,0,0.5,5,,
0.032245304,-0.023640137,0.964064717,0.016653948,-0.002009055,0.004488804,34:24.3,45.9,2,0.030063293,-0.021951555,0.962846249,0.010517493,-0.000179888,0.005152673,34:25.3,0.5,1.6,5,,
0.028608618,-0.018574392,0.962358892,0.009802677,0.001315778,0.004639488,34:24.8,46.5,3,0.031639191,-0.027982204,0.963942885,0.010699175,-0.00231356,0.003796499,34:26.4,1.1,2.6,5,,
0.031517968,-0.025328718,0.963333607,0.011232309,-0.001675554,0.005665857,34:25.3,47,4,0.031396747,-0.020866039,0.965161353,0.011006698,-0.001480886,0.003987992,34:27.4,1.6,3.7,5,,
0.031033078,-0.028947107,0.963333607,0.010888204,-0.003716754,0.002489158,34:25.9,47.5,5,0.03151797,-0.025087493,0.963699162,0.010097951,-0.00049019,0.003891613,34:28.5,2.1,4.8,5,,
0.032245304,-0.027017301,0.964552164,0.010510147,-0.000910365,0.00510384,34:26.4,48,6,0.030426963,-0.027740979,0.962846249,0.009794656,-0.00296089,0.002317507,34:29.6,2.6,5.8,5,,
0.030063294,-0.015679682,0.964795828,0.00922361,-0.001195462,0.004053013,34:26.9,48.6,7,0.032245306,-0.015317844,0.964430302,0.012183268,-0.001978494,0.004996567,34:30.6,3.2,6.9,5,,
0.032730199,-0.026052397,0.965526879,0.012789786,-0.001766309,0.00392297,34:27.4,49.1,8,0.032245308,-0.025208106,0.96491766,0.006300285,-0.002442545,0.002796079,34:31.7,3.7,7.9,5,,
0.031033078,-0.026052397,0.963333607,0.009050101,-0.000811585,0.003802307,34:28.0,49.6,9,0.031881636,-0.025208106,0.965526938,0.005885031,-0.000414602,0.002977611,34:32.7,4.2,9,5,,
0.032002863,-0.02412259,0.964064717,0.0111458,-0.000168795,0.003980919,34:28.5,50.2,10,0.033457536,-0.025690558,0.963699162,0.00434538,-0.000348017,0.002221444,34:33.8,4.8,10.1,5,,
0.02909351,-0.028464656,0.962115169,0.011614628,-0.002550422,0.000845238,34:29.0,50.7,11,0.032245308,-0.025569946,0.96357733,0.004599273,-7.20506E-05,0.002756969,34:34.9,5.3,11.1,5,,
0.031760417,-0.027017301,0.96357733,0.007974684,-0.003371359,0.003789776,34:29.6,51.2,12,0.032730198,-0.024484428,0.964430273,0.003298551,-0.000901144,0.001427285,34:35.9,5.8,12.2,5,,
0.030305739,-0.025811171,0.965283275,0.008544162,-0.002638201,0.002457215,34:30.1,51.7,13,0.032972643,-0.025208106,0.964795828,0.004672073,-0.001602622,0.003499123,34:37.0,6.3,13.2,5,,
0.034184873,-0.004824518,0.96357733,0.015822373,-0.001318787,0.007535919,34:30.6,52.3,14,0.039276239,-0.041129015,0.946274847,0.008914873,0.000720174,0.005337097,34:38.0,6.9,14.3,5,,
0.032002863,-0.02412259,0.964308441,0.006412193,-0.002766233,0.003441414,34:31.1,52.8,15,0.024244592,0.025012336,0.951514363,0.008616485,-0.011153521,0.112046653,34:39.1,7.4,15.4,5,,
0.032487754,-0.026293622,0.965526879,0.006188378,-0.002118857,0.002150745,34:31.7,53.3,16,-0.007058455,0.024225231,0.928485006,-0.004517118,-0.010695371,0.249338619,34:40.2,7.9,16.4,5,,
0.031517968,-0.024605041,0.965770602,0.006582715,0.000323879,0.003320633,34:32.2,53.8,17,0.073824782,-0.048486408,0.995136052,0.042012788,-0.005782695,0.077183206,34:41.2,8.4,17.5,5,,
0.032245304,-0.025811171,0.965283275,0.005187348,-0.001153083,0.002634589,34:32.7,54.4,18,0.067884859,0.001227301,1.021211684,-0.030494358,0.00112641,-0.131415471,34:42.3,9,18.5,5,,
