acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Label
0.04679206,-0.025087493,0.967720211,-0.031371977,0.005298694,0.00267504,42:29.1,87.9,1,0.043640265,-0.024966881,0.965526909,-0.011092482,0.003163811,0.003651224,42:29.6,0,0.5,5
0.04048847,-0.024846269,0.963333607,0.009187013,0.001028928,0.004627408,42:29.6,88.4,2,0.037215449,-0.018815619,0.96357733,0.011293713,0.000254773,0.005597256,42:30.7,0.5,1.6,5
0.035639551,-0.025087493,0.964552164,0.010271259,0.000709475,0.004172873,42:30.2,89,3,0.036973001,-0.03401285,0.965892464,0.004123665,-0.001496643,0.003202866,42:31.7,1.1,2.6,5
0.038791347,-0.012543746,0.962602496,0.012316167,-0.000199929,0.007021639,42:30.7,89.5,4,0.03770034,-0.025328719,0.965161413,0.006124236,-0.001398453,0.003726419,42:32.8,1.6,3.7,5
0.035154656,-0.039802272,0.9669891,0.003297918,-0.001969826,0.002654069,42:31.2,90,5,0.038548902,-0.025208107,0.965283215,0.006500874,-0.001614526,0.00434322,42:33.9,2.1,4.7,5
0.038791347,-0.028223429,0.964795828,0.004949413,-0.00102346,0.003751663,42:31.7,90.5,6,0.039155014,-0.027258526,0.963821024,0.005829152,-0.000625079,0.002148628,42:34.9,2.6,5.8,5
0.037094224,-0.026052397,0.965283275,0.007431619,-0.001875104,0.003020969,42:32.3,91.1,7,0.038185231,-0.02737914,0.965526879,0.005796894,-0.001913203,0.003449597,42:36.0,3.2,6.8,5
0.038306456,-0.024605041,0.965039551,0.004816853,-0.000921801,0.004431869,42:32.8,91.6,8,0.0385489,-0.028947107,0.965161353,0.00265814,-0.000916668,0.002881244,42:37.0,3.7,7.9,5
0.037579119,-0.024846269,0.965039551,0.005231664,-0.001486628,0.004859515,42:33.3,92.1,9,0.038185231,-0.029067719,0.965283275,0.004016522,-0.00126737,0.001250473,42:38.1,4.2,9,5
0.039518684,-0.025569946,0.965526879,0.007770084,-0.001742424,0.003826926,42:33.9,92.6,10,0.038306454,-0.028102818,0.962724417,0.002168629,-0.00121655,0.001298969,42:39.1,4.7,10,5
0.039276235,-0.026534848,0.964795828,0.005149074,-0.000493244,0.002197874,42:34.4,93.2,11,0.038185233,-0.028102816,0.964308441,0.003588535,0.000598163,0.002497876,42:40.2,5.3,11.1,5
0.039033793,-0.027982203,0.96284622,0.00650923,-0.000756914,0.002099382,42:34.9,93.7,12,0.040246023,-0.032927336,0.962846249,0.003619365,-0.000144946,0.001590872,42:41.2,5.8,12.1,5
0.03733667,-0.027017301,0.965526879,0.006027304,-0.000726639,0.001698826,42:35.4,94.2,13,0.043276599,-0.040405337,0.952976555,0.002184302,0.000551459,0.000892772,42:42.3,6.3,13.2,5
